,x
TRINITY_DN24730_c1_g1_i1|m.11907,10
TRINITY_DN24739_c0_g1_i2|m.11867,10
TRINITY_DN24749_c0_g1_i1|m.11919,12
TRINITY_DN24749_c0_g1_i2|m.11920,11
TRINITY_DN24754_c0_g1_i1|m.11877,3
TRINITY_DN24756_c0_g1_i1|m.11948,3
TRINITY_DN24757_c0_g1_i1|m.11923,4
TRINITY_DN24761_c0_g1_i1|m.11951,19
TRINITY_DN24761_c1_g1_i1|m.11953,10
TRINITY_DN24762_c0_g1_i1|m.11945,2
TRINITY_DN24784_c0_g1_i1|m.11976,5
TRINITY_DN24785_c0_g1_i1|m.11966,2
TRINITY_DN24791_c0_g1_i1|m.11993,11
TRINITY_DN24843_c0_g1_i1|m.12029,10
TRINITY_DN24843_c0_g1_i2|m.12031,3
TRINITY_DN24848_c0_g2_i1|m.12078,4
TRINITY_DN24860_c0_g1_i1|m.12084,13
TRINITY_DN24868_c0_g1_i1|m.12096,2
TRINITY_DN24882_c0_g1_i1|m.12104,2
TRINITY_DN24885_c0_g1_i1|m.12108,2
TRINITY_DN24914_c0_g1_i3|m.12174,7
TRINITY_DN24919_c0_g1_i1|m.12160,2
TRINITY_DN24947_c0_g1_i1|m.12133,3
TRINITY_DN24952_c0_g1_i1|m.12156,10
TRINITY_DN24963_c0_g1_i1|m.12216,5
TRINITY_DN24984_c0_g2_i1|m.12230,10
TRINITY_DN24987_c0_g2_i1|m.12246,10
TRINITY_DN24987_c0_g3_i1|m.12250,12
TRINITY_DN24989_c0_g1_i1|m.12234,8
TRINITY_DN24992_c0_g1_i1|m.12242,2
TRINITY_DN25022_c0_g1_i1|m.12292,13
TRINITY_DN25023_c0_g3_i1|m.12294,2
TRINITY_DN25030_c0_g1_i1|m.12318,10
TRINITY_DN25044_c0_g1_i1|m.12288,2
TRINITY_DN25067_c0_g1_i1|m.12328,2
TRINITY_DN25069_c0_g2_i1|m.12353,7
TRINITY_DN25071_c0_g1_i1|m.12355,5
TRINITY_DN25095_c0_g1_i1|m.12382,5
TRINITY_DN25105_c0_g1_i1|m.12413,2
TRINITY_DN25131_c0_g1_i1|m.12438,3
TRINITY_DN25133_c0_g1_i1|m.12439,11
TRINITY_DN25135_c0_g1_i1|m.12441,2
TRINITY_DN25143_c0_g1_i1|m.12434,6
TRINITY_DN25144_c0_g1_i1|m.12462,18
TRINITY_DN25148_c0_g1_i1|m.12464,2
TRINITY_DN25158_c0_g1_i1|m.12488,16
TRINITY_DN25171_c0_g1_i1|m.12495,2
TRINITY_DN25199_c0_g2_i1|m.12520,10
TRINITY_DN25220_c0_g1_i1|m.12565,2
TRINITY_DN25228_c0_g1_i1|m.12572,5
TRINITY_DN25239_c0_g1_i1|m.12589,3
TRINITY_DN25265_c0_g2_i1|m.12605,11
TRINITY_DN25280_c0_g1_i1|m.12625,10
TRINITY_DN25280_c1_g1_i1|m.12627,10
TRINITY_DN25280_c1_g2_i1|m.12628,10
TRINITY_DN25291_c0_g1_i1|m.12638,22
TRINITY_DN25296_c0_g1_i1|m.12645,11
TRINITY_DN25319_c0_g1_i2|m.12685,10
TRINITY_DN25320_c0_g1_i1|m.12696,21
TRINITY_DN25323_c0_g1_i1|m.12697,5
TRINITY_DN25334_c0_g1_i1|m.12731,11
TRINITY_DN25343_c0_g1_i10|m.12726,5
TRINITY_DN25346_c0_g1_i1|m.12693,3
TRINITY_DN25348_c0_g1_i1|m.12660,11
TRINITY_DN25353_c0_g1_i1|m.12747,2
TRINITY_DN25364_c0_g1_i1|m.12754,3
TRINITY_DN25365_c0_g1_i1|m.12769,18
TRINITY_DN25381_c0_g1_i2|m.12779,5
TRINITY_DN25422_c0_g1_i1|m.12856,5
TRINITY_DN25440_c0_g1_i1|m.12860,10
TRINITY_DN25441_c0_g6_i1|m.12894,8
TRINITY_DN25447_c0_g1_i2|m.12823,10
TRINITY_DN25459_c0_g1_i1|m.12918,10
TRINITY_DN25497_c0_g2_i1|m.12997,2
TRINITY_DN25512_c0_g1_i1|m.13044,3
TRINITY_DN25518_c0_g1_i1|m.13055,3
TRINITY_DN25522_c0_g1_i1|m.13065,2
TRINITY_DN25528_c0_g1_i1|m.13087,3
TRINITY_DN25531_c0_g1_i1|m.13089,19
TRINITY_DN25531_c0_g1_i2|m.13090,10
TRINITY_DN25534_c0_g1_i1|m.13075,13
TRINITY_DN25567_c0_g1_i1|m.13114,3
TRINITY_DN25574_c0_g1_i1|m.13131,2
TRINITY_DN25590_c0_g1_i1|m.13084,5
TRINITY_DN25591_c0_g1_i1|m.13146,5
TRINITY_DN25597_c0_g1_i1|m.13015,3
TRINITY_DN25600_c0_g1_i1|m.13160,2
TRINITY_DN25611_c0_g1_i1|m.13198,3
TRINITY_DN25625_c0_g1_i1|m.13236,3
TRINITY_DN25632_c0_g1_i3|m.13242,4
TRINITY_DN25636_c0_g1_i1|m.13151,2
TRINITY_DN25642_c0_g1_i1|m.13192,3
TRINITY_DN25643_c0_g1_i1|m.13175,10
TRINITY_DN25644_c0_g1_i1|m.13226,2
TRINITY_DN25691_c0_g1_i1|m.13292,5
TRINITY_DN25710_c0_g1_i1|m.13327,3
TRINITY_DN25751_c0_g1_i1|m.13366,5
TRINITY_DN25761_c0_g1_i1|m.13387,11
TRINITY_DN25779_c0_g1_i1|m.13422,14
TRINITY_DN25793_c0_g1_i1|m.13440,8
TRINITY_DN25799_c0_g1_i1|m.13443,3
TRINITY_DN25800_c0_g1_i1|m.13461,3
TRINITY_DN25824_c0_g1_i1|m.13523,5
TRINITY_DN25851_c0_g1_i1|m.13521,14
TRINITY_DN25890_c0_g2_i4|m.13587,18
TRINITY_DN25930_c0_g1_i1|m.13672,5
TRINITY_DN25967_c0_g1_i1|m.13652,3
TRINITY_DN25967_c0_g1_i2|m.13653,3
TRINITY_DN25986_c0_g1_i2|m.13734,10
